;;;;
#;Question;Réponse;Commentaires (pour justifier la réponse - au besoin);
1;"La municipalité devrait investir davantage dans le projet de tramway, même si cela implique une hausse des
     taxes municipales.";;;
2;"La municipalité devrait investir davantage dans le projet de tramway, même si cela implique une hausse des
     taxes municipales.";;;
3;"La Ville de Québec devrait activement soutenir la réalisation d'un troisième lien routier entre Québec et
     Lévis.";;;
4;"Le secteur privé devrait jouer un rôle plus important dans la gestion et l'opération du transport en commun à      
     Québec.";;;
5;"La Ville devrait obliger un nombre minimum de logements abordables dans chaque nouveau projet
     immobilier.";;;
6;La Ville devrait prioriser la construction de nouveaux bâtiments au centre-ville avant d'autoriser plus de constructions en banlieue.;;;
7;"La Ville devrait renforcer les restrictions sur les locations de type Airbnb pour préserver le parc
     locatif.";;;
8;"Les règles de zonage (qui dictent où et comment on peut construire) devraient être assouplies pour faciliter la    
      construction de nouveaux logements.";;;
9;La Ville devrait mettre plus d'argent pour protéger et agrandir les espaces verts, même si cela nuit au développement de projets immobiliers.;;;
10;"La Ville devrait accélérer la transition des bâtiments """"carboneutres"""" (qui n'ajoutent pas de pollution au climat), même si ça coûte plus cher.";;;
11;La Ville devrait améliorer la collecte des ordures au lieu de la réduire pour des raisons environnementales.;;;
12;La Ville devrait investir davantage dans des projets écoresponsables (énergie verte, transport durable, bâtiments écologiques), même si cela nécessite d'augmenter les taxes foncières (impôt sur la propriété).;;;
13;La Ville devrait donner plus de pouvoir aux conseils de quartier pour décider des projets locaux.;;;
14;La Ville devrait prioriser l'amélioration des services essentiels (collecte des ordures, déneigement, etc.) avant d'investir dans des projets d'avenir.;;;
15;La Ville devrait offrir plus de réductions de taxes ou autres avantages fiscaux pour attirer de grandes entreprises.;;;
16;La Ville devrait limiter le nombre de touristes dans certains quartiers pour protéger la qualité de vie des résidents.;;;
17;La Ville devrait donner plus d'argent aux organismes communautaires qui aident pour des services sociaux essentiels (itinérance, aide alimentaire, etc).;;;
18;Il faudrait augmenter le nombre de policiers pour améliorer la sécurité dans les quartiers.;;;
19;La Ville devrait investir plus dans les parcs, arénas et terrains de sport de quartier.;;;
20;La Ville devrait renforcer les règles qui protègent les vieux bâtiments et le patrimoine, même si cela limite certains projets.;;;
21;Priorité #1;;;
21;Priorité #2;;;
21;Priorité #3;;;
